FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
8/28/2022,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1137,ATL,"Atlanta, GA",LAX,"Los Angeles, CA",2256,2301,5,22,2323,37,6,31,43,12,0,,0,275,282,254,1947,,,,,
3/20/2021,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5827,PSP,"Palm Springs, CA",SFO,"San Francisco, CA",1037,1032,-5,8,1040,1152,4,1214,1156,-18,0,,0,97,84,72,421,,,,,
7/25/2022,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,2207,ORD,"Chicago, IL",BNA,"Nashville, TN",1414,1421,7,17,1438,1534,7,1553,1541,-12,0,,0,99,80,56,409,,,,,
2/10/2023,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2479,LAS,"Las Vegas, NV",LAX,"Los Angeles, CA",1115,1139,24,17,1156,1238,9,1231,1247,16,0,,0,76,68,42,236,16,0,0,0,0
6/21/2020,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2080,CLT,"Charlotte, NC",ORD,"Chicago, IL",935,933,-2,16,949,1007,8,1048,1015,-33,0,,0,133,102,78,599,,,,,
3/26/2021,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1553,MCO,"Orlando, FL",ATL,"Atlanta, GA",1915,1909,-6,20,1929,2037,10,2056,2047,-9,0,,0,101,98,68,404,,,,,
2/24/2021,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,4572,BWI,"Baltimore, MD",ATL,"Atlanta, GA",1415,1411,-4,9,1420,1553,4,1615,1557,-18,0,,0,120,106,93,577,,,,,
5/7/2020,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5017,DFW,"Dallas/Fort Worth, TX",DAY,"Dayton, OH",1655,1652,-3,17,1709,1958,3,2015,2001,-14,0,,0,140,129,109,861,,,,,
3/14/2021,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5496,DEN,"Denver, CO",XNA,"Fayetteville, AR",1001,,,,,,,1253,,,1,B,0,112,,,616,,,,,
9/9/2022,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,388,OTZ,"Kotzebue, AK",ANC,"Anchorage, AK",1317,1355,38,6,1401,1521,4,1445,1525,40,0,,0,88,90,80,548,0,0,2,0,38
4/9/2019,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5704,CLT,"Charlotte, NC",CVG,"Cincinnati, OH",1755,1925,90,26,1951,2044,4,1921,2048,87,0,,0,86,83,53,335,0,11,0,0,76
5/3/2023,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1251,PHX,"Phoenix, AZ",SFO,"San Francisco, CA",1942,1942,0,12,1954,2133,4,2150,2137,-13,0,,0,128,115,99,651,,,,,
11/10/2022,Envoy Air,Envoy Air: MQ,MQ,20398,3672,ORD,"Chicago, IL",RIC,"Richmond, VA",1310,1442,92,8,1450,1723,8,1623,1731,68,0,,0,133,109,93,642,68,0,0,0,0
5/5/2019,Mesa Airlines Inc.,Mesa Airlines Inc.: YV,YV,20378,5864,SBA,"Santa Barbara, CA",PHX,"Phoenix, AZ",1211,1209,-2,15,1224,1331,14,1344,1345,1,0,,0,93,96,67,455,,,,,
1/9/2021,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5403,DEN,"Denver, CO",SUN,"Sun Valley/Hailey/Ketchum, ID",1150,1149,-1,29,1218,1401,4,1354,1405,11,0,,0,124,136,103,557,,,,,
3/13/2021,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2875,SAN,"San Diego, CA",LAS,"Las Vegas, NV",1355,1354,-1,11,1405,1457,4,1510,1501,-9,0,,0,75,67,52,258,,,,,
1/20/2023,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5137,CLT,"Charlotte, NC",CHA,"Chattanooga, TN",1431,1428,-3,22,1450,1538,9,1550,1547,-3,0,,0,79,79,48,241,,,,,
8/31/2022,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,264,LAS,"Las Vegas, NV",BUR,"Burbank, CA",939,935,-4,12,947,1032,7,1051,1039,-12,0,,0,72,64,45,223,,,,,
7/15/2022,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1075,SFO,"San Francisco, CA",ATL,"Atlanta, GA",800,759,-1,14,813,1526,8,1540,1534,-6,0,,0,280,275,253,2139,,,,,
8/19/2021,Endeavor Air Inc.,Endeavor Air Inc.: 9E,9E,20363,5186,DTW,"Detroit, MI",GSP,"Greer, SC",1359,1354,-5,13,1407,1520,3,1540,1523,-17,0,,0,101,89,73,508,,,,,
4/23/2022,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2099,DTW,"Detroit, MI",TPA,"Tampa, FL",710,708,-2,22,730,935,7,944,942,-2,0,,0,154,154,125,983,,,,,
4/29/2020,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,610,FLL,"Fort Lauderdale, FL",BOS,"Boston, MA",715,703,-12,11,714,959,7,1029,1006,-23,0,,0,194,183,165,1237,,,,,
7/23/2023,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1855,ORD,"Chicago, IL",MSO,"Missoula, MT",904,1102,118,21,1123,1325,13,1141,1338,117,0,,0,217,216,182,1332,117,0,0,0,0
2/24/2019,Endeavor Air Inc.,Endeavor Air Inc.: 9E,9E,20363,5402,BGR,"Bangor, ME",LGA,"New York, NY",1407,1402,-5,58,1500,1617,6,1600,1623,23,0,,0,113,141,77,378,0,0,23,0,0
2/27/2021,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2340,AUS,"Austin, TX",PHX,"Phoenix, AZ",1618,1608,-10,11,1619,1737,8,1756,1745,-11,0,,0,158,157,138,872,,,,,
8/27/2022,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,810,DTW,"Detroit, MI",PHX,"Phoenix, AZ",844,837,-7,13,850,928,7,950,935,-15,0,,0,246,238,218,1671,,,,,
2/2/2023,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2016,LAX,"Los Angeles, CA",LAS,"Las Vegas, NV",1825,1822,-3,12,1834,1919,7,1930,1926,-4,0,,0,65,64,45,236,,,,,
12/16/2019,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1891,CLT,"Charlotte, NC",EWR,"Newark, NJ",1441,1437,-4,18,1455,1607,8,1635,1615,-20,0,,0,114,98,72,529,,,,,
8/14/2019,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,576,SMF,"Sacramento, CA",CLT,"Charlotte, NC",2158,2159,1,17,2216,533,3,545,536,-9,0,,0,287,277,257,2244,,,,,
11/15/2021,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2368,SAN,"San Diego, CA",DEN,"Denver, CO",2140,,,,,,,100,,,1,B,0,140,,,853,,,,,
3/8/2021,Mesa Airlines Inc.,Mesa Airlines Inc.: YV,YV,20378,5861,DFW,"Dallas/Fort Worth, TX",ELP,"El Paso, TX",1644,1638,-6,12,1650,1723,3,1735,1726,-9,0,,0,111,108,93,551,,,,,
9/24/2020,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,523,TPA,"Tampa, FL",SEA,"Seattle, WA",1720,1717,-3,17,1734,2020,6,2025,2026,1,0,,0,365,369,346,2520,,,,,
7/1/2022,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,525,CLE,"Cleveland, OH",DFW,"Dallas/Fort Worth, TX",545,538,-7,12,550,707,13,736,720,-16,0,,0,171,162,137,1021,,,,,
